Model,Stat,aesthetics_rating,learnability,efficiency,usability_rating,design_quality_rating
Claude-4,ICC3,0.111,0.059,0.019,0.033,0.113
Claude-4,RMSE,0.307,0.554,0.536,0.525,0.308
Claude-4,Ttest_p,0.0,0.0,0.0,0.0,0.0
Claude-4,Ttest_t,-11.671,-40.696,-28.354,-31.73,-10.434
Claude-4,Wilcoxon_p,0.0,0.0,0.0,0.0,0.0
Claude-4,Wilcoxon_stat,62804.0,18631.5,37412.5,48813.0,76314.5
GPT-5,ICC3,0.177,0.072,0.054,0.059,0.16
GPT-5,RMSE,0.264,0.507,0.45,0.435,0.25
GPT-5,Ttest_p,0.1202,0.0,0.0,0.0,0.1445
GPT-5,Ttest_t,-1.555,-33.213,-20.279,-18.199,1.461
GPT-5,Wilcoxon_p,0.1808,0.0,0.0,0.0,0.1888
GPT-5,Wilcoxon_stat,139233.5,18051.0,40238.5,69191.5,131416.5
Gemini-2.5,ICC3,0.137,0.062,0.026,0.059,0.125
Gemini-2.5,RMSE,0.328,0.613,0.58,0.521,0.271
Gemini-2.5,Ttest_p,0.0,0.0,0.0,0.0,0.0
Gemini-2.5,Ttest_t,22.772,-38.006,-24.937,-19.906,17.471
Gemini-2.5,Wilcoxon_p,0.0,0.0,0.0,0.0,0.0
Gemini-2.5,Wilcoxon_stat,59472.0,23440.5,55353.5,85580.5,80727.0
